Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),unnamed_12,unnamed_13
399006.SZ,20110211,1,1063.95,1067.19,1075.59,1065.15,1071.58,7.64,0.7177,18582.16,7173863.4283,33361,20110211180000000
399006.SZ,20110214,1,1071.58,1072.31,1087.31,1072.31,1086.56,14.98,1.3976,20854.3,8396670.0439,33361,20110214180000000
399006.SZ,20110215,1,1086.56,1086.8,1097.56,1082.27,1087.72,1.17,0.1074,26924.83,9864464.5785,33361,20110215180000000
399006.SZ,20110216,1,1087.72,1086.77,1107.24,1083.85,1107.24,19.52,1.7941,24300.58,9216956.7919,33361,20110216180000000
399006.SZ,20110217,1,1107.24,1108.63,1116.96,1103.89,1115.33,8.09,0.731,24075.34,9368212.5988,33361,20110217180000000
399006.SZ,20110218,1,1115.33,1114.45,1114.69,1098.58,1100.46,-14.87,-1.3335,23144.19,8861477.4404,33361,20110218180000000
399006.SZ,20110221,1,1100.46,1096.16,1117.67,1094.42,1117.67,17.21,1.564,23388.57,9423123.6545,33361,20110221180000000
399006.SZ,20110222,1,1117.67,1118.61,1122.18,1087.01,1088.27,-29.41,-2.631,32023.36,12449323.5963,33361,20110222180000000
399006.SZ,20110223,1,1088.27,1088.08,1117.29,1087.86,1114.05,25.79,2.3695,23132.15,9947056.7749,33361,20110223180000000
399006.SZ,20110224,1,1114.05,1112.43,1112.72,1094.62,1101.95,-12.1,-1.086,22386.39,9413685.341,33361,20110224180000000
399006.SZ,20110225,1,1101.95,1098.11,1098.73,1085.8,1095.1,-6.86,-0.6221,19662.8,7877872.4245,33361,20110225180000000
399006.SZ,20110228,1,1095.1,1096.34,1099.78,1087.59,1099.78,4.68,0.4272,19037.86,7613564.0461,33361,20110228180000000
399006.SZ,20110301,1,1099.78,1100.81,1102.55,1091.98,1098.0,-1.77,-0.1612,21015.15,8041563.2683,33361,20110301180000000
399006.SZ,20110302,1,1098.0,1094.97,1096.09,1077.65,1088.9,-9.11,-0.8293,17976.59,6938441.1315,33361,20110302180000000
399006.SZ,20110303,1,1088.9,1088.89,1091.89,1062.37,1064.31,-24.59,-2.2582,17997.09,6877460.9079,33361,20110303180000000
399006.SZ,20110304,1,1064.31,1063.43,1071.86,1056.56,1071.86,7.55,0.7097,14712.74,5426590.3734,33361,20110304180000000
399006.SZ,20110307,1,1071.86,1073.93,1078.11,1069.93,1078.11,6.25,0.5832,17700.28,6658859.3492,33361,20110307180000000
399006.SZ,20110308,1,1078.11,1079.53,1085.31,1074.1,1084.82,6.71,0.6224,25269.86,8812151.0755,33361,20110308180000000
399006.SZ,20110309,1,1084.82,1084.7,1087.3,1075.46,1087.3,2.48,0.2284,24532.39,8904006.3856,33361,20110309180000000
399006.SZ,20110310,1,1087.3,1088.34,1103.54,1087.56,1093.9,6.6,0.6075,25642.47,9837759.8636,33361,20110310180000000
399006.SZ,20110311,1,1093.9,1090.21,1113.01,1088.65,1101.76,7.86,0.7182,27553.55,10764426.1362,33361,20110311180000000
399006.SZ,20110314,1,1101.76,1099.32,1107.54,1095.9,1107.54,5.78,0.5243,25430.75,9295615.6596,33361,20110314180000000
399006.SZ,20110315,1,1107.54,1108.2,1108.2,1078.23,1094.95,-12.58,-1.1361,27862.49,10290754.8196,33361,20110315180000000
399006.SZ,20110316,1,1094.95,1094.12,1102.67,1094.12,1102.21,7.26,0.6631,26212.54,9973230.8611,33361,20110316180000000
399006.SZ,20110317,1,1102.21,1096.22,1096.22,1074.87,1078.37,-23.84,-2.1633,25791.87,9618101.9554,33361,20110317180000000
399006.SZ,20110318,1,1078.37,1081.6,1088.31,1079.56,1083.6,5.23,0.4846,17140.87,6422766.4908,33361,20110318180000000
399006.SZ,20110321,1,1083.6,1083.15,1084.55,1068.32,1070.6,-13.0,-1.1993,16750.07,6448694.4794,33361,20110321180000000
399006.SZ,20110322,1,1070.6,1072.39,1074.08,1057.86,1067.29,-3.32,-0.3097,18465.59,6761189.9302,33361,20110322180000000
399006.SZ,20110323,1,1067.29,1066.17,1076.56,1064.59,1076.56,9.28,0.8693,17621.4,6575953.7889,33361,20110323180000000
399006.SZ,20110324,1,1076.56,1078.02,1081.59,1074.04,1077.99,1.42,0.1324,18721.27,6819943.3458,33361,20110324180000000
